Subdistrict,Zone
Dholera,A
Detroj-Rampura,A
Dhandhuka,A
Khambha,A
Dhari,A
Lilia,A
Savar Kundla,A
Babra,A
Kunkavav Vadia,A
Lathi,A
Tarapur,A
Anklav,A
Sojitra,A
Dhansura,A
Malpur,A
Lakhani,A
Amirgadh,A
Suigam,A
Danta,A
Dhanera,A
Vav,A
Kankrej,A
Vadgam,A
Tharad,A
Deodar,A
Dantiwada,A
Netrang,A
Jesar,A
Umrala,A
Vallabhipur,A
Gariadhar,A
Palitana,A
Talaja,A
Ghogha,A
Ranpur,A
Gadhada,A
Barwala,A
Botad,A
Chhota Udepur,A
Kavant,A
Nasvadi,A
Sankheda,A
Bodeli,A
Jetpur Pavi,A
Kalyanpur,A
Bhanvad,A
Dhanpur,A
Sanjeli,A
Limkheda,A
Dahod,A
Fatepura,A
Jhalod,A
Singvad,A
Garbada,A
Devgadbaria,A
Gir Gadhada,A
Talala,A
Jodiya,A
Bhesan,A
Mendarda,A
Rapar,A
Nakhatrana,A
Lakhpat,A
Mandvi,A
Galteshwar,A
Matar,A
Vaso,A
Mahudha,A
Satlasana,A
Jotana,A
Kheralu,A
Becharaji,A
Vadnagar,A
Khanpur,A
Kadana,A
Virpur,A
Maliya,A
Garudeshwar,A
Dediapada,A
Tilakwada,A
Sagbara,A
Khergam,A
Ghoghamba,A
Morwa (Hadaf),A
Jambughoda,A
Shehera,A
Sarasvati,A
Santalpur,A
Shankheshwar,A
Sami,A
Radhanpur,A
Harij,A
Kutiyana,A
Vinchhiya,A
Jamkandorna,A
Poshina,A
Vijaynagar,A
Khedbrahma,A
Umarpada,A
Mahuva,A
Lakhtar,A
Chuda,A
Muli,A
Sayla,A
Limbdi,A
Dasada,A
Chotila,A
Kukarmunda,A
Uchchhal,A
Nizar,A
Dolvan,A
Songadh,A
Subir,A
Waghai,A
Aahva,A
Sinor,A
Desar,A
Kaprada,A
Dharampur,A
Viramgam,B
Rajula,B
Bagasara,B
Amreli,B
Bayad,B
Khambhat,B
Umreth,B
Borsad,B
Petlad,B
Meghraj,B
Bhiloda,B
Modasa,B
Deesa,B
Bhabhar,B
Palanpur,B
Okhamandal,B
Amod,B
Jambusar,B
Valia,B
Mahuva,B
Sihor,B
Kapadvanj,B
Lunawada,B
Balasinor,B
Santrampur,B
Halvad,B
Nandod,B
Bansda,B
Chikhli,B
Gandevi,B
Godhra,B
Sidhpur,B
Chanasma,B
Patan,B
Mansa,B
Una,B
Kodinar,B
Sutrapada,B
Veraval,B
jamjodhpur,B
Kalavad,B
Dhrol,B
Visavadar,B
Malia-Hatina,B
Mangrol,B
Vanthali,B
Manavadar,B
Keshod,B
Abdasa,B
Bhachau,B
Bhuj,B
Mehmedabad,B
Kathlal,B
Thasra,B
Unjha,B
Vijapur,B
Visnagar,B
Jalalpore,B
Porbandar,B
Ranavav,B
Jasdan,B
Upleta,B
Dhoraji,B
Jetpur,B
Gondal,B
Talod,B
Vadali,B
Idar,B
Prantij,B
Himatnagar,B
Mandvi,B
Bardoli,B
Thangadh,B
Dhrangadhra,B
Valod,B
Dabhoi,B
Daskroi,C
Bavla,C
Dholka,C
Sanand,C
Mandal,C
Ahmedabad City,C
Jafrabad,C
Anand,C
Jhagadia,C
Bharuch,C
Vagra,C
Anklesvar,C
Hansot,C
Bhavnagar,C
Khambhalia,C
Kalol,C
Dehgam,C
Gandhinagar,C
Lalpur,C
Jamnagar,C
Junagadh,C
Junagadh City,C
Mundra,C
Anjar,C
Gandhidham,C
Kheda,C
Nadiad,C
Kadi,C
Mehsana,C
Wankaner,C
Morbi,C
Tankara,C
Navsari,C
Halol,C
Kalol,C
Paddhari,C
Lodhika,C
Rajkot,C
Kotda Sangani,C
Mangrol,C
Kamrej,C
Palsana,C
Chorasi,C
Olpad,C
Surat City,C
Wadhwan,C
Vyara,C
Vaghodia,C
Karjan,C
Padra,C
Savli,C
Vadodara,C
Valsad,C
Pardi,C
Vapi,C
Umbergaon,C
