Subdistrict,Zone
Faridabad,A
 Gurugram,A
 Panipat,A
 Sonipat,A
 Jhajjar,B
 Rewari,B
 Palwal,A
Ballabgarh,A
 Sohna,A
Prithla,A
 Pataudi,A
Farukh Nagar,A
 Rai,A
 Bawal,A
 Bahadurgarh,A
 Ambala,B
 Ambala Cantonment,B
 Barara,C
 Mullana,C
 Naraingarh,C
 Saha,C
 Shahzadpur,C
 Bhiwani,B
 Bawani Khera,D
 Loharu,D
 Siwani,D
 Tosham,C
 Dadri,D
Charki Dadri,D
Badhra,D
Bondkalan St,D
Badkhal,A
 Fatehabad,C
 Tohana,C
 Ratia,C
 Manesar,B
 Badshahpur,B
 Hisar,B
 Hansi,C
 Narnaund,D
 Barwala,D
 Adampur,D
 Badli,C
 Beri,C
 Jind,C
 Narwana,C
 Safidon,D
 Uchana,D
 Julana,D
 Alewa,D
 Pillukhera,D
 Kaithal,C
 Guhla,C
 Pundri,C
 Kalayat,D
 Rajound,D
 Karnal,B
 Assandh,C
 Gharaunda,B
 Indri,C
 Nilokheri,B
 Thanesar,C
 Shahbad,C
 Ladwa,C
 Pehowa,C
 Babain,C
 Ismailabad,C
 Pipli,C
 Mahendragarh,D
 Narnaul,C
 Ateli,D
 Kanina,D
 Satnali,D
 Nangal Chaudhary,D
 Nuh,C
 Ferozepur Jhirka,D
 Punahana,D
 Taoru,B
 Nagina,D
 Hodal,B
 Hathin,C
 Panchkula,B
 Kalka,B
 Pinjore,B
 Raipur Rani,D
 Morni,D
 Barwala,B
 Samalkha,B
 Israna,C
Matlauda,C
Bapoli,C
 Kosli,C
Jatusana,C
Dahina,C
Nahar,D
 Meham,C
 Sampla,C
 Kalanaur,C
 Lakhan Majra,C
 Sirsa,C
 Dabwali,D
 Ellenabad,D
 Rania,D
 Kalanwali,C
 Ganaur,B
 Kharkhoda,B
 Gohana,C
 Mundlana,C
 Jagadhri,B
 Chhachhrauli,C
 Bilaspur,C
 Radaur,C
 Sadhaura,D
 Sahalwas,D
