Subdistrict,Zone
Magadi,A
Channapatna,A
Kanakapura,A
Holalkere,A
Hiriyur,A
Hosadurga,A
Molkalmuru,A
Channagiri,A
Jagalur,A
Honnali,A
Nyamati,A
Gudibande,A
Bagepalli,A
Chickaballapura,A
Siddlaghatta,A
Manchenahalli,A
Cheluru,A
Srinivasapura,A
Bangarpet,A
KGF,A
Mulbagal,A
Soraba,A
Sagar,A
Hosanagara,A
Shikaripura,A
ThirthahaIli,A
Madhugiri,A
Turuvekere,A
Koratagere,A
Gubbi,A
Pavagada,A
Chikkanayakanahalli,A
Yelandur,A
Gundlupet,A
Hanur,A
Chamarajanagar,A
Kollegal,A
Mudigere,A
Shringeri,A
Koppa,A
Tarikere,A
Ajjampur,A
N R Pura,A
Kalasa,A
Belthangadi,A
Puttur,A
Sulya,A
Ullal,A
Mulki,A
Kadaba,A
Arakalgud,A
Belur,A
Alur,A
H N Pura,A
Sakleshpura,A
Madikeri,A
Somwarpet,A
Virajpet,A
Ponnampete,A
Kushalnagar,A
Pandavapura,A
Nagamangala,A
Malavalli,A
K R Pet,A
K R Nagara,A
Hunsur,A
T Narisipura,A
Periyapatna,A
H D Kote,A
Saligrama,A
Saraguru,A
Baindur,A
Kapu,A
Hebri,A
Bhramhavara,A
Bilagi,A
Badami,A
Mudhol,A
Jamkhandi,A
Hunagund,A
Guledgudda,A
Rabakavi-Banahatti,A
Terdal,A
Ilkal,A
Bagalkote,A
Bailhongal,A
Belagavi,A
Soundathi,A
Chikkodi,A
Raibag,A
Khanapur,A
Ramdurg,A
Hukkeri,A
Athani,A
Gokak,A
Nippani,A
Kagavada,A
Mudalgi,A
Yaragatti,A
Kittur,A
Sindgi,A
Indi,A
Muddebihal,A
B Bagewadi,A
Alamela,A
Babaleshwar,A
Nidagundi,A
Vijayapura,A
Tikota,A
Chedachana,A
Kolhar,A
Devarahipparagi,A
Talikote,A
Navalgund,A
Dharwada,A
Hubballi (U),A
Hubballi (R),A
Kalghatagi,A
Kundaghol,A
Annigeri,A
Alnavar,A
Mundargi,A
Nargund,A
Ron,A
Shirahatti,A
Gajendragad,A
Lakshmeshwar,A
Gadag,A
Savanur,A
Shiggaon,A
Hirekerur,A
Hanagal,A
Ranebennur,A
Byadagi,A
Rattihalli,A
Haveri,A
Honnavar,A
Sirsi,A
Mundagod,A
Yellapura,A
Siddapura,A
Haliyal,A
Joida,A
Bhatkal,A
Ankola,A
Kumta,A
Dandeli,A
Karwar,A
Sandur,A
Ballari,A
Siraguppa,A
Kurugodu,A
Kampli,A
Bhalki,A
Bidar,A
Humnabad,A
Basava Kalyana,A
Aurad,A
Chitaguppa,A
Hulusur,A
Kamala Nagar,A
Afzalpur,A
Kalaburagi,A
Aland,A
Jewargi,A
Sedam,A
Chittapur,A
Chincholi,A
Kalagi,A
Kamalapur,A
Yedrami,A
Shahabad,A
Yadgiri,A
Shahapur,A
Shorapur,A
Hunasagi,A
Vadagera,A
Gurumitkal,A
Kushtagi,A
Yelburga,A
Gangavathi,A
Kukkunur,A
Karatagi,A
Kanakagiri,A
Koppal,A
Sindhanur,A
Raichur,A
Manvi,A
Arakera,A
Lingasugur,A
Devadurga,A
Maski,A
Siravara,A
H B Halli,A
Hospete,A
Hadagali,A
Kudligi,A
Kottur,A
Harappanahalli,A
Harohalli,B
Ramanagara,B
Chitradurga,B
Challakere,B
Davanagere,B
Harihar,B
Chintamani,B
Gowribidanur,B
Kolar,B
Malur,B
Shivamogga,B
Bhadravathi,B
Tumakur,B
Kunigal,B
Sira,B
Tiptur,B
Kadur,B
Chikkamagaluru,B
Bantwal,B
Moodbidri,B
Mangaluru,B
Hassan,B
Arasikere,B
C R Patna,B
Srirangapatna,B
Mandya,B
Maddur,B
Nanjangud,B
Mysuru,B
Karkala,B
Udupi,B
Kundapura,B
Anekal,C
Bengaluru (N),C
Bengaluru (S),C
Yelahanka,C
Bengaluru (E),C
Devanahalli,C
Doddaballapura,C
Hoskote,C
Nelamangala,C
