Subdistrict,Zone
Greater Mumbai,A
Thane,A
Kalyan,A
Ulhasnagar,A
Ambernath,A
Bhivandi,A
Vasai,A
Palghar,A
Alibag,A
Uran,A
Panvel,A
Karjat,A
Khalapur,A
Pen,A
Roha,A
Pune City,A
Maval,A
Haveli,A
Bhor,A
Daund,A
Shirur,A
Khed,A
Mulshi,A
Purandar,A
Velhe,A
Murbad,B
Dahanu,B
Alibag,B
Sudhagad,B
Nasik,B
Bhivandi,C
Shahapur,C
Karjat,C
Mahad,C
Mangaon,C
Murud,C
Ratnagiri,C
Chiplun,C
Shirur,C
Daund,C
Bhor,C
Khed,C
Indapur,C
Baramati,C
Purandar,C
Niphad,C
Sinnar,C
Shrivardhan,D
Khed,D
Vengurla,D
Ambegaon,D
Junnar,D
Solapur (North),D
Pandharpur,D
Malshiras,D
Satara,D
Khandala,D
Koregaon,D
Phaltan,D
Khatav,D
Karad,D
Mahabaleshwar,D
Miraj,D
Karveer,D
Panhala,D
Hatkanangale,D
Shirol,D
Dindori,D
Yeola,D
Igatpuri,D
Nagar,D
Rahuri,D
Shrirampur,D
Newasa,D
Karjat,D
Shrigonda,D
Akola,D
Sangamner,D
Kopergaon,D
Rahata,D
Dhule,D
Jalgaon,D
Yawal,D
Chalisgaon,D
Amalner,D
Dharangaon,D
Aurangabad,D
Nagpur City,D
Jawhar,D+
Mokhada,D+
Talasari,D+
Wada,D+
Vikramgad,D+
Poladpur,D+
Mhasala,D+
Tala,D+
Guhagar,D+
Dapoli,D+
Lanja,D+
Mandangad,D+
Rajapur,D+
Sangameshwar,D+
Kankavli,D+
Kudal,D+
Sawantwadi,D+ 
Malvan,D+
Deogad,D+
Vaibhavwadi,D+
Doda Marg,D+
Velhe,D+
Barshi,D+
Akkalkot,D+
Solapur (South),D+
Mohol,D+
Mangalwedhe,D+
Sangole,D+
Karmala,D+
Madha,D+
Wai,D+
Man,D+
Patan,D+
Jaoli,D+
Tasgaon,D+
Khanapur,D+
Atapadi,D+
Jat,D+
Kavathe,D+
Mahaankal,D+
Walwa,D+
Shirala,D+
Kadegaon,D+
Palus,D+
Kagal,D+
Gadhinglaj,D+
Chandgad,D+
Ajra,D+
Bhudargad,D+
Radhanagari,D+
Bavada,D+
Shahuwadi,D+
Peth,D+
Surgana,D+
Kalwan,D+
Baglan,D+
Chandwad,D+
Nandgaon,D+
Trimbakeshwar,D+
Deola,D+
Malegaon,D+
Shevgaon,D+
Pathardi,D+
Jamkhed,D+
Parner,D+
Sakri,D+
Shirpur,D+
Shindkheda,D+
Nandurbar,D+
Nawapur,D+
Shahade,D+
Talode,D+
Akrani,D+
Akkalkuva,D+
Chopada,D+
Raver,D+
Edalabad,D+
Bhusawal,D+
Jamner,D+
Pachora,D+
Bhadgaon,D+
Parola,D+
Erandol,D+
Bodwad,D+
Khuldabad,D+
Kannad,D+
Soegaon,D+
Sillod,D+
Paithan,D+
Gangapur,D+
Vaijapur,D+
Phulambri,D+
Jalna,D+
Ambad,D+
Jafferabad,D+
Partur,D+
Bhokardan,D+
Badnapur,D+
Ghangsavangi,D+
Mantha,D+
Beed,D+
Georai,D+
Majalgaon,D+
Ambejogai,D+
Kaij,D+
Patoda,D+
Ashti,D+
Pharur,D+
Parli,D+
Wadavani,D+
Shirur Kasar,D+
Osmanabad,D+
Kalamb,D+
Omerga,D+
Tuljapur,D+
Paranda,D+
Bhum,D+
Washi,D+
Lohara,D+
Parbhani,D+
Jintur,D+
Selu,D+
Gangakhed,D+
Pathri,D+
Palam,D+
Purna,D+
Manawat,D+
Sonpeth,D+
Latur,D+
Ahmedpur,D+
Udgir,D+
Nilanga,D+
Ausa,D+
Chakur,D+
Deoni,D+
Shirur- Anantpal,D+
Jalkot,D+
Renapur,D+
Nanded,D+
Bhokar,D+
Hadgaon,D+
Kinwat,D+
Biloli,D+
Deglur,D+
Mukhed,D+
Kandhar,D+
Loha,D+
Mudkhed,D+
Ardhapur,D+
Naigaon,D+
Dharmabad,D+
Himayatnagar,D+
Umari,D+
Mahur,D+
Akola,D+
Barshitakli,D+
Akot,D+
Telhara,D+
Balapur,D+
Patur,D+
Murtijapur,D+
Washim,D+
Malegaon,D+
Risod,D+
Manglurpir,D+
Manora,D+
Karanja,D+
Buldhana,D+
Chikhali,D+
Shegaon,D+
DeulgaonRaja,D+
Malkapur,D+
Motala,D+
Nandura,D+
Jalgaon,D+
Jamod,D+
Sangrampur,D+
Khamgaon,D+
Mehkar,D+
Sindakhed-Raja,D+
Lonar,D+
Yavatmal,D+
Babhulgaon,D+
Kalamb,D+
Kelapur,D+
Ralegaon,D+
Ghatanji,D+
Wani,D+
Maregaon,D+
Pusad,D+
Mahagaon,D+
Umarkhed,D+
Darwaha,D+
Ner,D+
Digras,D+
Arni,D+
Zari-Jamdi,D+
Nagpur (R),D+
Kamptee,D+
Hingana,D+
Katol,D+
Narkhed,D+
Savner,D+
Kalmeshwar,D+
Ramtek,D+
Parseoni,D+
Mauda,D+
Umred,D+
Bhiwapur,D+
Kuhi,D+
Bhandara,D+
Pauni,D+
Tumsar,D+
Mohadi,D+
Sakoli,D+
Lakhandur,D+
Lakhani,D+
Gondia,D+
Goregaon,D+
Tirora,D+
Arjuni-Morgaon,D+
Deori,D+
Sadakarjuni,D+
Amgaon,D+
Salekasa,D+
Wardha,D+
Deoli,D+
Seloo,D+
Arvi,D+
Karanja,D+
Ashti,D+
Hinganghat,D+
Samudrapur,D+
