Subdistrict,Zone
Ajmer,A
Kishangarh,A
Pushkar,A
Roopangarh,A
Alwar,A
Tehla,A
Beawar,A
Jahazpuraitaran,A    
Bharatpur,A
Bhilwara,A
Hameergarh,A
Hurda,A
Mandal,A
Bundi,A
Talera,A
Begun,A
Chittorgarh,A
Kapasan,A
Nimbahera,A
Rawatbhatia,A
Dausa,A
Sikri,A
Badi,A
Dholpur,A
Sarmathura,A
Makrana,A
Dudu,A
Gangapur,A
Hanumangarh,A
Pilibanga,A
Amber,A
Jaipur,A
Kalwar,A
Sanganer,A
Aandhi,A
Chaksu,A
Chomu,A
Jobner,A
Bassi,A
Shahpura,A
Bhingmal,A
Jalora,A
Jhunjhunu,A
Mandawa,A
Jodhpur,A
Bilada,A
Jhawar,A
Kudi Bhagtasani,A
Tapukda,A
Tijara,A
Ladpura,A
Ramganj Mandi,A
Behror,A
Kotputli,A
Neemrana,A
Nagaur,A
Khetri,A
Pali,A
Rani,A
Rohat,A
Sojat,A
Sumerpur,A
Phalodi,A
Sanchore,A
Sawai Madhopur,A
Banera,A
Shahpura,A
Rigus,A
Sikar,A
Ganganagar,A
Suratgarh,A
Deoli,A
Malpura,A
Niwai,A
Tonk,A
Arain,B
Nasirabad,B
Peesangan,B
Govindgarh,B
Lachchmangarh,B
Mala Khera,B
Nongawa,B
Rajgarh,B
Ramgarh,B
Thanagazi,B
Baytu,B
Kalyanpur,B
Pachpadra,B
Samdari,B
Sindhari,B
Siwana,B
Banswara,B
Gadhi,B
Antah,B
Baran,B
Chhabra,B
Barmer,B
Barmer Rural,B
Chohtan,B
Dhanau,B
Gudha Malani,B
Nokhda,B
Bijaynagar,B
Masuda,B
Raipur,B
Bayana,B
Bhusawar,B
Nadbai,B
Asind,B
Beejoliya,B
Karera,B
Mandalgarh,B
Sahra,B
Raipur,B
Bikaner,B
Kolayat,B
Lunkaransar,B
Nokha,B
Sri Dungargarh,B
Hindoli,B
Indragarh,B
Keshoraipatan,B
Badi Sadri,B
Bassi,B
Bhadesar,B
Bhoopal Sagar,B
Dungla,B
Gangrar,B
Rashmi,B
Churu,B
Ratangarh,B
Sardarshahar,B
Sidhmukh,B
Sujangarh,B
Taranagar,B
Rajgarh,B
Bahravanda,B
Baijuwada,B
Bandikui,B
Baswa,B
Lalsot,B
Lawaan,B
Mahwa,B
Mandawar,B
Nangal Rajwatan,B
Nirjharna,B
Rahuvas,B
Ramgarh Pachwara,B
Senthil,B
Deeg,B
Kaman,B
Kumher,B
Pahadi,B
Maniya,B
Rajakhera,B
Didwana,B
Kuchaman City,B
Ladnu,B
Nava,B
Parbatsar,B
Mauzamabad,B
Phagi,B
Dovda,B
Dungarpur,B
Gamdi Ahada,B
Barnala,B
Talawada,B
Bhadra,B
Nohar,B
Pallu,B
Rawatsar,B
Sangaria,B
Tibbi,B
Jamwa Ramgarh,B
Kishangarh Renwal,B
Madhorajpura,B
Phulera {HQ Sambhar},B
Jaisalmer,B
Sam,B
Ahore,B
Jaswantpur,B
Aklera,B
Dug,B
Jhalarpatan,B
Khanpur,B
Panch Pahad,B
Sunel,B
Raipur,B
Bisau,B
Buhana,B
Chirawa,B
Gudha Gaud Ji,B
Malsisar,B
Nawalgarh,B
Surajgarh,B
Balesar,B
Baori,B
Bhopalgarh,B
Luni,B
Osian,B
Pipar City,B
Shekhala,B
Tinwari,B
Hindaun,B
Karauli,B
Shri Mahavari Ji,B
Suroth,B
Bhinay,B
Kekri,B
Totaraisingh,B
Sarwar,B
Harsauli,B
Kharithal,B
Kishangarh Bas,B
Kotkasim,B
Digod,B
Sangod,B
Bansur,B
Pavta,B
Viratnagar,B
Dagana,B
Jayal,B
Khimsar,B
Merta,B
Mundwa,B
Riyanbari,B
Sanju,B
Neem Ka Thana,B
Sri Madhpur,B
Udaipurwati,B
Desuri,B
Marwar Junction,B
Aau,B
Bap,B
Bapini,B
Dechu,B
Lohawat,B
Chchoti Sadri,B
Dalot,B
Pratapgarh,B
Suhagpura,B
