District,Zone
Chengalpattu,A
Chennai,A
Kancheepuram,A
Tiruvallur,A
Coimbatore,B
Erode,B
Karur,B
Krishnagiri,B
Namakkal,B
The Nilgiris,B
Ranipet,B
Salem,B
Tiruchirappalli,B
Tirupattur,B
Tiruppur,B
Vellore,B
Ariyalur,C
Cuddalore,C
Dharmapuri,C
Dindigul,C
Kallakurichi,C
Kanniyakumari,C
Madurai,C
Mayiladuthurai,C
Nagapattinam,C
Perambalur,C
Pudukkottai,C
Ramanathapuram,C
Sivagangai,C
Tenkasi,C
Thanjavur,C
Theni,C
Thiruvarur,C
Thoothukudi,C
Tirunelveli,C
Tiruvannamalai,C
Villupuram,C
Virudhunagar,C
